Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV5-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRAV34
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV3-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV14
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV5-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV25-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV12-5
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV10-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV9
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV5-6
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV12-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV7-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV5-7
XP_015796025.1	uncharacterized protein LOC107372329	LOC107372329	ENSG00000260861
XP_015796025.1	uncharacterized protein LOC107372329	LOC107372329	TRAV18
XP_015796026.1	exonuclease mut-7 homolog	exd3	EXD3
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	PNLIPRP1
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	PNLIP
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	PNLIPRP3
XP_015796029.1	heat shock 70 kDa protein 12A-like	LOC107372332	HSPA12A
XP_015796030.1	vacuolar protein sorting-associated protein 13D-like	LOC107372333	VPS13D
XP_015796032.1	low-density lipoprotein receptor class A domain-containing protein 2 isoform X2	ldlrad2	LDLRAD2
XP_015796033.1	laminin subunit beta-3-like	LOC107372335	LAMB3
XP_015796035.1	notch-regulated ankyrin repeat-containing protein	nrarp	NRARP
XP_015796036.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X1	uaca	ANKRD35
XP_015796036.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X1	uaca	ANKRD24
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	UACA
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	ANKRD24
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	ANKRD35
XP_015796040.1	protein AMBP-like	LOC107372346	SPINT4
XP_015796040.1	protein AMBP-like	LOC107372346	AMBP
XP_015796040.1	protein AMBP-like	LOC107372346	PTGDS
XP_015796041.1	serine/threonine-protein kinase N2	pkn2	PKN2
XP_015796042.1	transcription initiation factor IIB	gtf2b	GTF2B
XP_015796044.1	tetraspanin-8-like	LOC107372354	TSPAN8
XP_015796045.1	kelch-like protein 42	klhl42	KLHL42
XP_015796049.1	G-protein coupled receptor 56-like isoform X1	LOC107372360	ADGRG1
XP_015796049.1	G-protein coupled receptor 56-like isoform X1	LOC107372360	ADGRG3
XP_015796051.1	AP-3 complex subunit sigma-2	LOC107372361	AP3S2
XP_015796051.1	AP-3 complex subunit sigma-2	LOC107372361	ARPIN-AP3S2
XP_015796056.1	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 isoform X1	pomgnt1	POMGNT1
XP_015796057.1	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 isoform X2	pomgnt1	POMGNT1
XP_015796059.1	major facilitator superfamily domain-containing protein 4-A-like isoform X2	LOC107372366	MFSD4A
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	LCN1
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	LCN12
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	LCN2
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	LCN10
XP_015796065.1	ETS domain-containing protein Elk-4-like isoform X2	LOC107372367	ELK4
XP_015796066.1	sodium bicarbonate transporter-like protein 11	slc4a11	SLC4A11
XP_015796071.1	neuronal-specific septin-3-like isoform X2	LOC107372372	SEPTIN12
XP_015796072.1	long-chain fatty acid transport protein 4	slc27a4	SLC27A1
XP_015796072.1	long-chain fatty acid transport protein 4	slc27a4	SLC27A4
XP_015796074.1	two pore calcium channel protein 2	tpcn2	TPCN2
XP_015796074.1	two pore calcium channel protein 2	tpcn2	ENSG00000287725
XP_015796076.1	complement C4-like isoform X2	LOC107372375	C4B
XP_015796076.1	complement C4-like isoform X2	LOC107372375	C4A
XP_015796080.1	steroid 21-hydroxylase-like isoform X1	LOC107372377	CYP21A2
XP_015796081.1	steroid 21-hydroxylase-like isoform X2	LOC107372377	CYP21A2
XP_015796082.1	acidic amino acid decarboxylase GADL1-like isoform X1	LOC107372380	GADL1
XP_015796085.1	DNA repair protein SWI5 homolog isoform X1	swi5	SWI5
XP_015796089.1	acidic amino acid decarboxylase GADL1-like isoform X3	LOC107372381	CSAD
XP_015796093.1	radial spoke head protein 6 homolog A-like	LOC107372382	RSPH4A
XP_015796093.1	radial spoke head protein 6 homolog A-like	LOC107372382	RSPH6A
XP_015796096.1	TGF-beta receptor type-2-like isoform X1	LOC107372384	TGFBR2
XP_015796102.1	WD repeat-containing protein 7-like	LOC107372392	WDR7
XP_015796103.1	zinc finger protein neuro-d4-like	LOC107372393	DPF3
XP_015796103.1	zinc finger protein neuro-d4-like	LOC107372393	DPF1
XP_015796104.1	protein FAM163B-like	LOC107372389	FAM163B
XP_015796110.1	uncharacterized protein LOC107372397	LOC107372397	MOG
XP_015796114.1	coiled-coil domain-containing protein 171 isoform X1	ccdc171	CCDC171
XP_015796115.1	coiled-coil domain-containing protein 171 isoform X2	ccdc171	CCDC171
XP_015796116.1	WD repeat-containing protein 55	wdr55	WDR55
XP_015796120.1	melanopsin-A-like	LOC107372404	ENSG00000289258
XP_015796120.1	melanopsin-A-like	LOC107372404	GPR135
XP_015796120.1	melanopsin-A-like	LOC107372404	OPN4
XP_015796120.1	melanopsin-A-like	LOC107372404	GPR88
XP_015796121.1	Werner syndrome ATP-dependent helicase isoform X1	wrn	RECQL5
XP_015796122.1	Werner syndrome ATP-dependent helicase isoform X2	wrn	RECQL5
XP_015796122.1	Werner syndrome ATP-dependent helicase isoform X2	wrn	WRN
XP_015796123.1	prickle-like protein 1	LOC107372407	PRICKLE4
XP_015796123.1	prickle-like protein 1	LOC107372407	PRICKLE1
XP_015796123.1	prickle-like protein 1	LOC107372407	ENSG00000124593
XP_015796124.1	dopamine beta-hydroxylase isoform X2	dbh	DBH
XP_015796126.1	cerebellar degeneration-related protein 2-like	LOC107372409	CDR2L
XP_015796127.1	rho GDP-dissociation inhibitor 1-like	LOC107372410	ARHGDIA
XP_015796127.1	rho GDP-dissociation inhibitor 1-like	LOC107372410	ARHGDIB
XP_015796130.1	brain mitochondrial carrier protein 1 isoform X2	slc25a14	SLC25A14
XP_015796131.1	brain mitochondrial carrier protein 1 isoform X3	slc25a14	SLC25A27
XP_015796134.1	maternal B9.10 protein-like	LOC107372416	BTG3
XP_015796134.1	maternal B9.10 protein-like	LOC107372416	BTG4
XP_015796135.1	sarcosine dehydrogenase, mitochondrial	sardh	SARDH
XP_015796136.1	heparan-alpha-glucosaminide N-acetyltransferase isoform X1	hgsnat	HGSNAT
XP_015796137.1	heparan-alpha-glucosaminide N-acetyltransferase isoform X2	hgsnat	HGSNAT
XP_015796141.1	transcription initiation factor IIE subunit beta	gtf2e2	GTF2E2
XP_015796142.1	dynactin subunit 6	dctn6	DCTN6
XP_015796143.1	small integral membrane protein 18	smim18	SMIM18
XP_015796147.1	cleavage and polyadenylation specificity factor subunit 1	cpsf1	CPSF1
XP_015796148.1	probable inactive glycosyltransferase 25 family member 3	cercam	CERCAM
XP_015796149.1	RNA polymerase II subunit A C-terminal domain phosphatase isoform X1	ctdp1	CTDP1
XP_015796151.1	uncharacterized aarF domain-containing protein kinase 5 isoform X1	adck5	ADCK5
XP_015796153.1	DEP domain-containing protein 5 isoform X1	depdc5	DEPDC5
XP_015796154.1	DEP domain-containing protein 5 isoform X2	depdc5	DEPDC5
XP_015796155.1	DEP domain-containing protein 5 isoform X3	depdc5	DEPDC5
XP_015796156.1	DEP domain-containing protein 5 isoform X4	depdc5	DEPDC5
XP_015796157.1	DEP domain-containing protein 5 isoform X5	depdc5	DEPDC5
XP_015796157.1	DEP domain-containing protein 5 isoform X5	depdc5	ENSG00000285404
XP_015796158.1	segment polarity protein dishevelled homolog DVL-2	dvl2	DVL2
XP_015796158.1	segment polarity protein dishevelled homolog DVL-2	dvl2	DVL3
XP_015796159.1	very long-chain specific acyl-CoA dehydrogenase, mitochondrial	acadvl	ACADVL
XP_015796160.1	ubiquitin-related modifier 1	urm1	URM1
XP_015796164.1	retinoic acid receptor beta-like	LOC107372434	RARB
XP_015796166.1	zinc finger RNA-binding protein isoform X2	zfr	ZFR
XP_015796169.1	proline and serine-rich protein 3 isoform X2	proser3	PROSER3
XP_015796170.1	SH2 domain-containing protein 3C	sh2d3c	SH2D3C
XP_015796170.1	SH2 domain-containing protein 3C	sh2d3c	BCAR3
XP_015796172.1	protein lin-37 homolog	lin37	LIN37
XP_015796174.1	gamma-secretase subunit PEN-2	psenen	PSENEN
XP_015796174.1	gamma-secretase subunit PEN-2	psenen	ENSG00000188223
XP_015796175.1	histone-lysine N-methyltransferase 2B	kmt2b	KMT2B
XP_015796175.1	histone-lysine N-methyltransferase 2B	kmt2b	MBD1
XP_015796176.1	IGF-like family receptor 1	igflr1	IGFLR1
XP_015796177.1	double homeobox protein 4C-like	LOC107372446	DUX4
XP_015796178.1	threo-3-hydroxyaspartate ammonia-lyase-like	LOC107372447	SRR
XP_015796179.1	transmembrane protein 254 isoform X1	tmem254	TMEM254
XP_015796182.1	fez family zinc finger protein 2	fezf2	FEZF2
XP_015796182.1	fez family zinc finger protein 2	fezf2	ZNF430
XP_015796199.1	intraflagellar transport protein 46 homolog	LOC107372474	IFT46
XP_015796202.1	DNA polymerase theta-like	LOC107372479	POLQ
XP_015796205.1	spermatid perinuclear RNA-binding protein	strbp	STRBP
XP_015796214.1	rab GTPase-activating protein 1-like	LOC107372496	RABGAP1
XP_015796214.1	rab GTPase-activating protein 1-like	LOC107372496	RABGAP1L
XP_015796222.1	single-stranded DNA-binding protein, mitochondrial-like	LOC107372508	SSBP1
XP_015796227.1	membrane-bound O-acyltransferase domain-containing protein 2-like	LOC107372516	MBOAT2
XP_015796228.1	roquin-2-like	LOC107372515	RC3H2
XP_015796232.1	snRNA-activating protein complex subunit 2	snapc2	SNAPC2
XP_015796234.1	tyrosine-protein kinase JAK2-like	LOC107372526	JAK3
XP_015796236.1	galactocerebrosidase-like	LOC107372531	GALC
XP_015796241.1	relaxin-3-like	LOC107372536	INSL5
XP_015796245.1	ubiquitin carboxyl-terminal hydrolase 48	usp48	USP48
XP_015796248.1	zinc finger protein 665-like	LOC107372541	ZNF597
XP_015796249.1	leucine-rich repeat transmembrane neuronal protein 2	lrrtm2	LRRTM2
XP_015796250.1	zinc finger protein Gfi-1b	gfi1b	GFI1B
XP_015796251.1	zinc finger BED domain-containing protein 1-like	LOC107372545	ZBED1
XP_015796253.1	uncharacterized protein LOC107372543	LOC107372543	CD274
XP_015796253.1	uncharacterized protein LOC107372543	LOC107372543	PDCD1LG2
XP_015796254.1	visual system homeobox 1-like isoform X1	LOC107372549	VSX1
XP_015796255.1	visual system homeobox 1-like isoform X2	LOC107372549	VSX1
XP_015796255.1	visual system homeobox 1-like isoform X2	LOC107372549	CPHXL
XP_015796258.1	CD209 antigen-like protein E isoform X2	LOC107372551	CLEC4C
XP_015796258.1	CD209 antigen-like protein E isoform X2	LOC107372551	CLEC4A
XP_015796258.1	CD209 antigen-like protein E isoform X2	LOC107372551	CLEC7A
XP_015796260.1	zinc finger protein 260-like	LOC107372553	ZNF691
XP_015796262.1	ribosome-recycling factor, mitochondrial	mrrf	MRRF
XP_015796265.1	adhesion G protein-coupled receptor A1	adgra1	ADGRA1
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF566
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF610
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZKSCAN8
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN31
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF891
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF846
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF763
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZKSCAN3
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF396
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN30
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF559-ZNF177
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF124
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF2
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF302
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF3
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF558
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN21
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF391
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF286A
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF619
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF561
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZFP69B
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF514
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF286A-TBC1D26
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF205
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ENSG00000267179
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF101
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF620
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF501
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF621
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF114
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZKSCAN8P1
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF397
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ENSG00000289685
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF121
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN9
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN26
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZKSCAN4
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF662
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZSCAN29
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF177
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF84
XP_015796266.1	zinc finger protein 846-like	LOC107372557	ZNF696
XP_015796272.1	probable RNA-binding protein 18 isoform X1	rbm18	RBM18
XP_015796273.1	F-box/LRR-repeat protein 19-like	LOC107372564	FBXL19
XP_015796277.1	tissue factor-like	LOC107372568	F3
XP_015796278.1	ATP-binding cassette sub-family D member 3 isoform X1	abcd3	ABCD3
XP_015796281.1	tubulin polymerization-promoting protein	tppp	TPPP
XP_015796288.1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	LOC107372582	PLOD3
XP_015796290.1	LIM/homeobox protein Lhx6 isoform X1	lhx6	LHX6
XP_015796295.1	DNA repair protein RAD50-like	LOC107372590	RAD50
XP_015796302.1	SH3 domain and tetratricopeptide repeat-containing protein 2-like	LOC107372598	SH3TC2
XP_015796302.1	SH3 domain and tetratricopeptide repeat-containing protein 2-like	LOC107372598	SH3TC1
XP_015796303.1	uncharacterized protein LOC107372600	LOC107372600	APOL3
XP_015796304.1	matrilin-2-like	LOC107372601	MATN2
XP_015796305.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	ndufa8	NDUFA8
XP_015796311.1	beta-1,3-N-acetylglucosaminyltransferase radical fringe-like	LOC107372602	RFNG
XP_015796311.1	beta-1,3-N-acetylglucosaminyltransferase radical fringe-like	LOC107372602	MFNG
XP_015796312.1	WD repeat domain phosphoinositide-interacting protein 3	wdr45b	WDR45B
XP_015796315.1	MORN repeat-containing protein 5	morn5	MORN5
XP_015796317.1	ARF GTPase-activating protein GIT1-like isoform X2	LOC107372611	GIT1
XP_015796318.1	gonadotropin-releasing hormone receptor-like	LOC107372612	GNRHR
XP_015796319.1	neurobeachin-like protein 2	LOC107372613	NBEAL2
XP_015796321.1	transmembrane protein 25-like	LOC107372618	TMEM25
XP_015796324.1	syntaxin-binding protein 1-like	LOC107372624	STXBP1
XP_015796324.1	syntaxin-binding protein 1-like	LOC107372624	STXBP2
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF397
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN20
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN5B
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN18
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF215
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF483
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN5A
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN1
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZIM2
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF213
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF24
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZKSCAN1
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN21
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZSCAN30
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	ZNF449
XP_015796333.1	probable tRNA (uracil-O(2)-)-methyltransferase	LOC107372636	TRMT44
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DQB1
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DQB2
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DOB
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DRB5
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DMB
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DPB1
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HFE
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	HLA-DRB1
XP_015796345.1	junctional protein associated with coronary artery disease-like	LOC107372651	JCAD
XP_015796350.1	butyrophilin subfamily 2 member A2-like isoform X1	LOC107372657	BTN3A3
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	BTN3A2
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	BTN2A2
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	BTN3A3
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	BTN3A1
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	CD86
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	BTN3A2
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	BTN3A3
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	BTN2A1
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	BTN2A2
XP_015796353.1	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta-like	LOC107372656	PDE6B
XP_015796356.1	hydroxyacid-oxoacid transhydrogenase, mitochondrial-like isoform X2	LOC107372658	ADHFE1
XP_015796356.1	hydroxyacid-oxoacid transhydrogenase, mitochondrial-like isoform X2	LOC107372658	ENSG00000285791
XP_015796357.1	hydroxyacid-oxoacid transhydrogenase, mitochondrial-like isoform X3	LOC107372658	ENSG00000285655
XP_015796358.1	germ cell-specific gene 1-like protein	LOC107372659	GSG1L
XP_015796359.1	fibroblast growth factor 19-like isoform X1	LOC107372661	FGF21
XP_015796359.1	fibroblast growth factor 19-like isoform X1	LOC107372661	FGF19
XP_015796362.1	FYN-binding protein isoform X1	fyb	FYB1
XP_015796362.1	FYN-binding protein isoform X1	fyb	FYB2
XP_015796365.1	zinc finger protein 33A-like	LOC107372665	ZNF575
XP_015796366.1	AMP deaminase 3-like	LOC107372666	AMPD3
XP_015796367.1	protein FAM187B	fam187b	FAM187B
XP_015796367.1	protein FAM187B	fam187b	FAM187A
XP_015796369.1	FYN-binding protein isoform X2	fyb	PRAM1
XP_015796369.1	FYN-binding protein isoform X2	fyb	FYB1
XP_015796371.1	protein FAM35A	fam35a	SHLD2
XP_015796372.1	pleckstrin homology domain-containing family H member 2-like	LOC107372675	PLEKHH2
XP_015796372.1	pleckstrin homology domain-containing family H member 2-like	LOC107372675	PLEKHH1
XP_015796373.1	epithelial cell adhesion molecule	epcam	EPCAM
XP_015796373.1	epithelial cell adhesion molecule	epcam	TACSTD2
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF121
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF625
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF554
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF37A
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF8
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF383
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF660
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF582
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF829
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF766
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF837
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF44
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF577
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF10
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF562
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	ZNF670
XP_015796377.1	dehydrogenase/reductase SDR family member 7C-A-like	LOC107372681	DHRS7C
XP_015796380.1	NAD(P) transhydrogenase, mitochondrial	nnt	NNT
XP_015796384.1	condensin-2 complex subunit H2-like	LOC107372694	NCAPH2
XP_015796392.1	ankycorbin	rai14	RAI14
XP_015796396.1	oral cancer-overexpressed protein 1	oraov1	LTO1
XP_015796397.1	atypical chemokine receptor 4-like	LOC107372710	ACKR4
XP_015796397.1	atypical chemokine receptor 4-like	LOC107372710	CX3CR1
XP_015796403.1	pancreatic progenitor cell differentiation and proliferation factor B-like	LOC107372714	PPDPFL
XP_015796404.1	lysosome membrane protein 2	scarb2	SCARB2
XP_015796415.1	macrophage migration inhibitory factor	mif	MIF
XP_015796421.1	R3H domain-containing protein 4	r3hdm4	R3HDM4
XP_015796432.1	proteasome subunit beta type-6-like	LOC107372744	PSMB6
XP_015796434.1	trafficking protein particle complex subunit 1	trappc1	TRAPPC1
XP_015796437.1	RING finger protein 208	rnf208	RNF208
XP_015796440.1	WW domain-containing adapter protein with coiled-coil isoform X1	wac	WAC
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	SLC5A1
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	SLC5A4
XP_015796447.1	mesothelin	msln	MSLN
XP_015796447.1	mesothelin	msln	EZHIP
XP_015796447.1	mesothelin	msln	MSLNL
XP_015796454.1	sodium-independent sulfate anion transporter-like	LOC107372765	SLC26A11
XP_015796456.1	guanine nucleotide-binding protein G(z) subunit alpha	gnaz	GNAZ
XP_015796457.1	unconventional myosin-Vb-like	LOC107372767	MYO5A
XP_015796459.1	CUB and sushi domain-containing protein 3-like	LOC107372769	C4BPB
XP_015796460.1	UPF0577 protein KIAA1324-like	LOC107372770	ELAPOR2
XP_015796461.1	WW domain-containing adapter protein with coiled-coil-like	LOC107372771	WAC
XP_015796463.1	gastrula zinc finger protein XlCGF8.2DB-like isoform X2	LOC107372772	ZSCAN18
XP_015796465.1	signal peptide peptidase-like 3	sppl3	SPPL3
XP_015796469.1	Bardet-Biedl syndrome 2 protein	bbs2	BBS2
XP_015796469.1	Bardet-Biedl syndrome 2 protein	bbs2	ENSG00000288725
XP_015796473.1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	b3gnt9	B3GNT9
XP_015796475.1	olfactory receptor 6N2-like	LOC107372782	OR5AC2
XP_015796475.1	olfactory receptor 6N2-like	LOC107372782	OR10X1
XP_015796484.1	small conductance calcium-activated potassium channel protein 2 isoform X1	kcnn2	KCNN1
XP_015796484.1	small conductance calcium-activated potassium channel protein 2 isoform X1	kcnn2	KCNN2
XP_015796494.1	chondroitin sulfate synthase 1	chsy1	CHSY1
